Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock,Punk,"Hiphop, Rap","Reggae, Ska","Swing, Jazz",Rock n roll,Alternative,Latino,"Techno, Trance",Opera,Movies,Horror,Thriller,Comedy,Romantic,Sci-fi,War,Fantasy/Fairy tales,Animated,Documentary,Western,Action,History,Psychology,Politics,Mathematics,Physics,Internet,PC,Economy Management,Biology,Chemistry,Reading,Geography,Foreign languages,Medicine,Law,Cars,Art exhibitions,Religion,"Countryside, outdoors",Dancing,Musical instruments,Writing,Passive sport,Active sport,Gardening,Celebrities,Shopping,Science and technology,Theatre,Fun with friends,Adrenaline sports,Pets,Flying,Storm,Darkness,Heights,Spiders,Snakes,Rats,Ageing,Dangerous dogs,Fear of public speaking,Smoking,Alcohol,Healthy eating,Daily events,Prioritising workload,Writing notes,Workaholism,Thinking ahead,Final judgement,Reliability,Keeping promises,Loss of interest,Friends versus money,Funniness,Fake,Criminal damage,Decision making,Elections,Self-criticism,Judgment calls,Hypochondria,Empathy,Eating to survive,Giving,Compassion to animals,Borrowed stuff,Loneliness,Cheating in school,Health,Changing the past,God,Dreams,Charity,Number of friends,Punctuality,Lying,Waiting,New environment,Mood swings,Appearence and gestures,Socializing,Achievements,Responding to a serious letter,Children,Assertiveness,Getting angry,Knowing the right people,Public speaking,Unpopularity,Life struggles,Happiness in life,Energy levels,Small - big dogs,Personality,Finding lost valuables,Getting up,Interests or hobbies,Parents' advice,Questionnaires or polls,Internet usage,Finances,Shopping centres,Branded clothing,Entertainment spending,Spending on looks,Spending on gadgets,Spending on healthy eating,Age,Height,Weight,Number of siblings,Gender,Left - right handed,Education,Only child,Village - town,House - block of flats
5.0,3.0,5.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0,5.0,5.0,5.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,3.0,1.0,3.0,5.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,5.0,3.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,2.0,5.0,2.0,2.0,4.0,4.0,3.0,1.0,5.0,3.0,1.0,3.0,1.0,2.0,4.0,2.0,1.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,5.0,2.0,2.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,4.0,1.0,3.0,5.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,20.0,173.0,55.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0
5.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,1.0,2.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,1.0,2.0,3.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,0.0,1.0,2.0,1.0,2.0,5.0,4.0,5.0,5.0,4.0,4.0,1.0,2.0,5.0,5.0,3.0,3.0,1.0,5.0,2.0,5.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,2.0,3.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,1.0,2.0,5.0,5.0,5.0,4.0,5.0,1.0,3.0,5.0,4.0,4.0,5.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,174.0,57.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
5.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,1.0,3.0,5.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,2.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,3.0,1.0,3.0,5.0,4.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0,3.0,2.0,5.0,5.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,0.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,3.0,1.0,4.0,5.0,5.0,5.0,4.0,1.0,5.0,3.0,3.0,5.0,5.0,3.0,2.0,4.0,2.0,5.0,4.0,4.0,3.0,1.0,2.0,3.0,2.0,4.0,3.0,5.0,3.0,1.0,5.0,3.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,2.0,2.0,5.0,1.0,3.0,1.0,1.0,3.0,4.0,20.0,185.0,86.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0
5.0,5.0,5.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,1.0,2.0,1.0,3.0,5.0,5.0,3.0,2.0,2.0,1.0,4.0,3.0,1.0,2.0,5.0,2.0,1.0,5.0,3.0,3.0,1.0,5.0,5.0,2.0,3.0,3.0,2.0,3.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,4.0,3.0,5.0,1.0,5.0,5.0,3.0,3.0,5.0,1.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,1.0,3.0,4.0,1.0,4.0,1.0,5.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,18.0,170.0,70.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
5.0,4.0,4.0,1.0,3.0,3.0,1.0,4.0,5.0,2.0,3.0,5.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,5.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,2.0,1.0,1.0,2.0,5.0,3.0,3.0,3.0,3.0,1.0,4.0,5.0,3.0,4.0,4.0,2.0,1.0,4.0,2.0,1.0,1.0,5.0,5.0,1.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0,5.0,5.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,5.0,3.0,5.0,4.0,2.0,1.0,5.0,2.0,4.0,1.0,5.0,3.0,4.0,1.0,3.0,3.0,1.0,1.0,5.0,1.0,5.0,0.0,1.0,4.0,5.0,2.0,5.0,4.0,1.0,3.0,3.0,4.0,1.0,5.0,4.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,1.0,0.0,1.0,5.0,5.0,4.0,5.0,4.0,5.0,20.0,190.0,85.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0
5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,1.0,5.0,2.0,2.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,3.0,5.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,4.0,3.0,2.0,3.0,2.0,2.0,5.0,5.0,3.0,2.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,3.0,2.0,5.0,3.0,3.0,3.0,3.0,1.0,4.0,0.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,5.0,3.0,5.0,5.0,1.0,2.0,4.0,5.0,3.0,3.0,4.0,2.0,5.0,4.0,1.0,2.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,20.0,180.0,75.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0
5.0,3.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,2.0,5.0,1.0,3.0,1.0,2.0,1.0,5.0,5.0,2.0,3.0,3.0,5.0,1.0,5.0,1.0,2.0,5.0,5.0,1.0,5.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,2.0,1.0,1.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,2.0,1.0,2.0,4.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,3.0,4.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0,1.0,3.0,0.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,1.0,3.0,3.0,1.0,1.0,5.0,3.0,3.0,3.0,0.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,16.0,165.0,49.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
5.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,5.0,1.0,2.0,5.0,5.0,2.0,4.0,3.0,3.0,2.0,3.0,5.0,4.0,4.0,2.0,3.0,1.0,5.0,2.0,3.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,5.0,5.0,3.0,5.0,1.0,3.0,2.0,1.0,2.0,5.0,4.0,1.0,4.0,2.0,1.0,2.0,4.0,3.0,5.0,2.0,1.0,2.0,5.0,0.0,1.0,3.0,3.0,4.0,3.0,1.0,4.0,3.0,4.0,2.0,1.0,1.0,3.0,4.0,2.0,5.0,4.0,3.0,5.0,3.0,5.0,2.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,0.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,1.0,4.0,3.0,4.0,5.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,19.0,175.0,76.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
5.0,4.0,4.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,4.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0,5.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,4.0,4.0,1.0,2.0,3.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,4.0,4.0,3.0,5.0,3.0,4.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,1.0,0.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,19.0,189.0,97.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0
5.0,4.0,5.0,2.0,1.0,2.0,1.0,5.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,5.0,2.0,3.0,5.0,5.0,1.0,1.0,2.0,4.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,2.0,1.0,2.0,5.0,5.0,2.0,1.0,2.0,1.0,1.0,5.0,4.0,2.0,1.0,5.0,2.0,2.0,5.0,5.0,1.0,1.0,5.0,2.0,1.0,2.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,3.0,1.0,1.0,3.0,2.0,2.0,5.0,1.0,3.0,1.0,4.0,4.0,5.0,3.0,5.0,2.0,1.0,3.0,2.0,2.0,4.0,1.0,5.0,1.0,2.0,5.0,1.0,4.0,5.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,1.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,23.0,172.0,64.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0
5.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,5.0,2.0,2.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,5.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0,5.0,5.0,3.0,2.0,4.0,2.0,3.0,5.0,3.0,5.0,4.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,3.0,5.0,3.0,3.0,1.0,5.0,4.0,4.0,4.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,0.0,1.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,1.0,4.0,5.0,3.0,4.0,3.0,4.0,0.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,20.0,165.0,48.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0
5.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,5.0,4.0,2.0,5.0,3.0,1.0,5.0,3.0,3.0,3.0,1.0,5.0,4.0,3.0,2.0,1.0,1.0,5.0,3.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,2.0,1.0,5.0,5.0,1.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,5.0,4.0,5.0,4.0,1.0,2.0,1.0,5.0,3.0,3.0,2.0,3.0,3.0,1.0,4.0,4.0,5.0,1.0,3.0,2.0,5.0,4.0,3.0,2.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,5.0,1.0,1.0,3.0,5.0,3.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,0.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,23.0,189.0,88.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0
3.0,5.0,4.0,2.0,1.0,2.0,3.0,4.0,1.0,3.0,2.0,5.0,3.0,2.0,1.0,1.0,5.0,4.0,1.0,4.0,5.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,4.0,3.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,5.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,5.0,1.0,1.0,3.0,1.0,2.0,5.0,5.0,4.0,2.0,3.0,4.0,4.0,3.0,1.0,1.0,1.0,5.0,4.0,3.0,0.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,3.0,3.0,4.0,0.0,2.0,3.0,5.0,4.0,5.0,4.0,1.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,5.0,5.0,0.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,19.0,170.0,75.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0
5.0,3.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,5.0,4.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,4.0,2.0,3.0,1.0,5.0,1.0,1.0,5.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,5.0,3.0,3.0,1.0,5.0,5.0,4.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,1.0,2.0,3.0,4.0,2.0,4.0,5.0,1.0,5.0,3.0,1.0,2.0,4.0,1.0,2.0,3.0,1.0,4.0,3.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,1.0,1.0,3.0,2.0,5.0,3.0,3.0,2.0,3.0,1.0,3.0,5.0,5.0,2.0,2.0,4.0,5.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,0.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,22.0,171.0,56.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0
4.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,4.0,1.0,4.0,1.0,5.0,1.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,5.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0,1.0,5.0,5.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,5.0,5.0,1.0,2.0,5.0,3.0,1.0,5.0,5.0,4.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,1.0,1.0,3.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,4.0,3.0,3.0,4.0,2.0,5.0,3.0,5.0,5.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,3.0,5.0,4.0,2.0,3.0,1.0,5.0,2.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,17.0,183.0,75.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0
5.0,5.0,5.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,5.0,1.0,5.0,1.0,3.0,5.0,5.0,1.0,1.0,5.0,5.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,5.0,5.0,1.0,3.0,5.0,4.0,1.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,5.0,5.0,3.0,3.0,4.0,4.0,2.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,1.0,5.0,1.0,3.0,1.0,3.0,5.0,5.0,3.0,5.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,4.0,5.0,2.0,4.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,1.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,5.0,20.0,178.0,58.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
5.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,5.0,2.0,2.0,4.0,2.0,2.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,2.0,2.0,5.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,4.0,5.0,3.0,4.0,5.0,3.0,3.0,4.0,2.0,5.0,4.0,3.0,3.0,3.0,5.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,1.0,2.0,4.0,5.0,2.0,4.0,1.0,5.0,1.0,4.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,1.0,2.0,0.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,21.0,169.0,65.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0
5.0,3.0,3.0,2.0,4.0,3.0,5.0,3.0,3.0,1.0,2.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,3.0,3.0,5.0,5.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0,3.0,5.0,3.0,1.0,4.0,2.0,1.0,1.0,5.0,5.0,1.0,2.0,3.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,4.0,3.0,1.0,3.0,4.0,1.0,3.0,3.0,1.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,5.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,2.0,0.0,1.0,2.0,5.0,5.0,3.0,5.0,4.0,21.0,178.0,78.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0
5.0,4.0,4.0,2.0,1.0,2.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,4.0,4.0,4.0,3.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,3.0,3.0,1.0,2.0,5.0,2.0,3.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,2.0,5.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,5.0,4.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,5.0,2.0,3.0,5.0,3.0,2.0,3.0,2.0,5.0,0.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,5.0,4.0,3.0,3.0,3.0,1.0,4.0,3.0,2.0,2.0,4.0,3.0,5.0,4.0,2.0,3.0,0.0,3.0,5.0,3.0,2.0,3.0,2.0,2.0,19.0,160.0,43.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
5.0,3.0,3.0,2.0,3.0,2.0,4.0,5.0,2.0,1.0,1.0,4.0,3.0,2.0,4.0,3.0,4.0,1.0,2.0,5.0,3.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,5.0,3.0,2.0,5.0,5.0,5.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,5.0,5.0,1.0,2.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,1.0,1.0,4.0,5.0,2.0,4.0,5.0,4.0,0.0,1.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,5.0,4.0,3.0,5.0,4.0,2.0,1.0,4.0,5.0,4.0,3.0,1.0,5.0,1.0,3.0,5.0,5.0,3.0,2.0,3.0,1.0,2.0,4.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,5.0,3.0,3.0,4.0,4.0,1.0,4.0,5.0,5.0,3.0,4.0,3.0,0.0,3.0,4.0,1.0,3.0,2.0,3.0,4.0,20.0,175.0,75.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
5.0,3.0,4.0,3.0,2.0,5.0,2.0,5.0,5.0,4.0,3.0,3.0,2.0,5.0,5.0,3.0,2.0,5.0,1.0,5.0,3.0,5.0,5.0,3.0,5.0,2.0,4.0,5.0,4.0,1.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,5.0,1.0,4.0,2.0,4.0,2.0,5.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,1.0,2.0,3.0,4.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,3.0,3.0,1.0,5.0,3.0,1.0,5.0,4.0,1.0,3.0,3.0,1.0,5.0,5.0,1.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,0.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,5.0,2.0,4.0,4.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,4.0,2.0,19.0,195.0,95.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0
